time  position velocity 
 0.017 -0.00899029516454 -0.0742646502836
0.037 -0.0102855436362 -0.0731179573307
0.057 -0.0115503945692 -0.07070963278
0.077 -0.0132260489053 -0.0671433904971
0.097 -0.014329671698 -0.0625176140404
0.117 -0.0157472353902 -0.0569255389917
0.137 -0.0167771902512 -0.0504554332513
0.157 -0.0176091691616 -0.0431907750309
0.177 -0.0187477428827 -0.0352104283033
0.197 -0.0198760611369 -0.0265888154936
0.217 -0.0203726144321 -0.0173960872193
0.237 -0.0202379989127 -0.00769828890732
0.257 -0.0207678747381 0.00244247586007
0.277 -0.0209782941327 0.0129860647005
0.297 -0.0203534471176 0.0238399661146
0.317 -0.0200132886205 0.0349726663367
0.336 -0.019026550247 0.0463362628797
0.357 -0.0179715381237 0.0578860314429
0.377 -0.0172374809256 0.0695802843517
0.397 -0.0155488362597 0.0813802328401
0.417 -0.0139522742624 0.093249853203
0.437 -0.0122729995347 0.10516409275
0.457 -0.0101053562363 0.117082125186
0.477 -0.00767174668032 0.128969116898
0.498 -0.00483057002126 0.140806857996
0.517 -0.00196626510686 0.152571276139
0.537 0.00111553833217 0.164240342393
0.557 0.00411692496008 0.175793964356
0.577 0.00733634592878 0.187185458842
0.597 0.0111952455661 0.198429556689
0.617 0.0151515913198 0.209538523688
0.637 0.018941834272 0.220468810325
0.657 0.0234656935665 0.231208540594
0.677 0.0283124445376 0.24174721045
0.697 0.0335063458081 0.252075787624
0.717 0.0386073244649 0.262185891861
0.737 0.0434861852831 0.272070854014
0.757 0.0488337383938 0.281724872136
0.777 0.0542392478726 0.291143139423
0.797 0.0604482772081 0.300321778221
0.816 0.0668878840778 0.30925777696
0.837 0.0730375137432 0.317948929948
0.857 0.0789694179415 0.32639377995
0.877 0.0854961434009 0.334591563464
0.897 0.092299130116 0.342542158606
0.917 0.0989397489097 0.350243145072
0.937 0.10606879987 0.357701550524
0.957 0.113355997182 0.364915756448
0.977 0.120324907843 0.371887736297
0.997 0.127810111072 0.378619881057
1.018 0.13565688994 0.385114961165
1.037 0.143743361462 0.391376090495
1.057 0.15141686639 0.397406692334
1.077 0.159329351455 0.403210467263
1.097 0.166986623134 0.408791362895
1.116 0.175292025415 0.414153545373
1.136 0.183363053025 0.419301372566
1.157 0.191862519414 0.424195781785
1.177 0.200201439906 0.428870627461
1.197 0.209088591818 0.433411322524
1.217 0.217547845207 0.437756110613
1.237 0.226100244068 0.441909975214
1.257 0.234809153336 0.445877962532
1.277 0.244366414551 0.449665164725
1.297 0.252934102008 0.453279915206
1.317 0.262130487936 0.456695591715
1.337 0.27140437247 0.459942347542
1.357 0.28058822032 0.463061857162
1.377 0.290069377455 0.466026015083
1.397 0.299151401887 0.468839907254
1.417 0.308692238592 0.471508578561
1.437 0.318296306755 0.474034258769
1.457 0.327692495254 0.476402316336
1.477 0.336988723778 0.478636877415
1.497 0.346115957277 0.480778564635
1.517 0.356246894108 0.482799128852
1.537 0.365732921366 0.484703220083
1.556 0.375714881319 0.48649540151
1.577 0.385175297847 0.488180145478
1.597 0.395114178288 0.489761830008
1.617 0.404540306836 0.491219104979
1.637 0.414625750013 0.492579327083
1.657 0.42469325303 0.493881477577
1.677 0.434340846098 0.495096861869
1.697 0.444352603788 0.496227503573
1.717 0.454549746284 0.497281031796
1.736 0.464301199391 0.498259101409
1.757 0.474370486071 0.499165270955
1.777 0.484183852203 0.500002991903
1.797 0.494069467588 0.500775608844
1.817 0.503789248049 0.501486359906
1.837 0.51425132571 0.502138377399
1.857 0.524587265131 0.502734688654
1.877 0.534391319886 0.503278217048
1.897 0.544311190714 0.503771783189
1.917 0.554604426574 0.504218106255
1.936 0.564647218384 0.504619805469
1.957 0.574829069025 0.504979401692
1.977 0.584394634005 0.505299319126
1.997 0.594726344965 0.505581887108
2.017 0.605210523829 0.505829341999
2.037 0.61513080991 0.50604382913
2.057 0.624970113176 0.506201061596
2.077 0.635612381856 0.506328297149
2.096 0.645615211229 0.506460238356
2.117 0.655325840854 0.506566701138
2.136 0.665591900726 0.506649414438
2.157 0.675928383901 0.506710028822
2.177 0.686056646046 0.506750118677
2.197 0.696052187684 0.506771184423
2.216 0.706353479861 0.506774654722
2.236 0.716475588034 0.506761888687
2.257 0.726378728005 0.506711044291
2.277 0.736624445583 0.506588893924
2.297 0.746955269219 0.50647348851
2.317 0.756862288178 0.506395003378
2.337 0.767048106733 0.506304829735
2.357 0.776903352813 0.506236102592
2.377 0.787416989415 0.50615801865
2.397 0.79737293699 0.506044854068
2.416 0.807511865848 0.505923617824
2.437 0.817915244729 0.50580043921
2.457 0.828344759218 0.505670582727
2.476 0.837719946291 0.505566688005
2.496 0.848316143732 0.505457746951
2.517 0.858212367477 0.505344408455
2.536 0.868151064821 0.505227281349
2.557 0.878244648629 0.505106936084
2.577 0.888054523783 0.504983906367
2.597 0.898508761445 0.504858690757
2.616 0.908642165667 0.504731754226
2.637 0.918674773554 0.504603529669
2.657 0.928979563049 0.504474419376
2.676 0.93910085118 0.504344796468
2.697 0.949100179486 0.504215006274
2.717 0.959035474143 0.504085367689
2.737 0.969400532467 0.503956174465
2.756 0.979046427805 0.503827752783
2.777 0.989082166294 0.503700232754
2.797 0.999063419684 0.503573901155
2.816 1.00926496927 0.503448963378
2.836 1.01950732378 0.503325605568
2.856 1.02936148545 0.503203995684
2.876 1.03967836886 0.503084284512
2.896 1.0498484612 0.502966606646
2.916 1.05958993327 0.50285108143
2.937 1.06969244226 0.502737813861
2.956 1.07988788121 0.502626895454
2.976 1.08972502773 0.502518405077
