velocity command:
0.0 2.0
0.197676725461 1.99020700235
0.39733866159 1.96013315568
0.589129445143 1.91126306323
0.776994173518 1.8428999035
0.957095432952 1.75612309712
1.12763371119 1.65179968924
1.28690504614 1.53097204489
1.43331805126 1.39484743393
1.5654098162 1.24478596849
1.68186052371 1.08228701312
1.78150663682 0.908974203678
1.86335252451 0.726579224457
1.92658040971 0.5369245058
1.97089945998 0.3399342858
1.99484750133 0.143469322239
1.99914720608 -0.0583990446026
1.98358631819 -0.255705530456
1.94814869202 -0.452456267247
1.8932458081 -0.644686210578
1.81942623789 -0.830474662397
1.7264187333 -1.0096922092
1.61816900118 -1.17538465347
1.49274223047 -1.33105996611
1.35240047282 -1.47343576755
1.1985459767 -1.60108948586
1.03271600536 -1.71274564728
0.85656747707 -1.80728862034
0.671860409691 -1.88377376293
0.480440335185 -1.94143686076
0.284219859663 -1.97970176324
0.0831613248666 -1.99827030055
-0.114751639262 -1.99670530156
-0.31351627133 -1.97527404367
-0.50914835245 -1.93410650048
-0.699693191534 -1.87361400446
-0.883246927536 -1.79440097665
-1.0579755522 -1.69725888743
-1.22213323487 -1.58315834844
-1.37407976624 -1.45323941456
-1.51229694679 -1.30880019282
-1.63655422213 -1.14964789307
-1.74217015177 -0.982264303675
-1.83152935912 -0.803430274929
-1.90258853054 -0.616568636455
-1.95463766627 -0.423546447975
-1.98715670856 -0.226292323394
-1.99982073788 -0.0267771607189
-1.99250321944 0.173005550494
-1.96527726747 0.371059647435
-1.91841491468 0.565406239035
-1.8523843942 0.754103478392
-1.76784546117 0.935265965067
-1.66564280067 1.10708358338
-1.54679758789 1.26783958847
-1.41249728491 1.4159277595
-1.26408377598 1.54986844839
-1.1030399598 1.66832336406
-0.930974932964 1.77010894416
-0.749607912336 1.8542081808
-0.560751057236 1.91978078223
-0.366291362931 1.96617156867
-0.168171806407 1.99291701873
0.0336278009687 1.99971727277
