computed position trajectory
0.0 -0.00037616678829 0.00149722279878 0.000284248330832
0.1 -0.00550929344371 -0.00389006494639 0.00216735132226
0.2 -0.0043075097336 -0.0126059175825 0.00126755229553
0.3 -0.00344727915256 -0.0138361736909 -0.00208821128076
0.4 -0.00358562089248 -0.0141062014107 -0.00390970256266
0.5 -0.00381621270207 -0.0126713990044 -0.00541467648009
0.6 -0.00446813925048 -0.00901518424584 -0.0125151701425
0.7 -0.00514872604628 -0.00352604593595 -0.0153682014524
0.8 -0.00586577821056 -0.000563272605518 -0.0219578378711
0.9 -0.00653278132501 0.00696776655253 -0.0259161464783
1.0 -0.00687766776026 0.016732009567 -0.0288883164704
1.1 -0.00715070600767 0.0287260404356 -0.034683093792
1.2 -0.00703355521776 0.0404430160639 -0.0350834189004
1.3 -0.00821536477314 0.0547252388234 -0.0344824142803
1.4 -0.00879065437302 0.0720391475389 -0.039257835919
1.5 -0.00893117722859 0.0915007537536 -0.0385298958869
1.6 -0.0088262399529 0.10915066734 -0.0377089438475
1.7 -0.00873117205995 0.130925227726 -0.037901248824
1.8 -0.00844656063113 0.15186153358 -0.0345785809903
1.9 -0.00861406134658 0.17273209465 -0.038457344036
2.0 -0.00860462623896 0.189354958865 -0.0376078710827
2.1 -0.00906971223005 0.210467812435 -0.0430797631764
2.2 -0.00930424157093 0.231540303152 -0.0424634426736
2.3 -0.0092474440269 0.25245339351 -0.0416981337427
2.4 -0.00917904607705 0.269105279614 -0.0418040105292
2.5 -0.00954522896486 0.290250393372 -0.0472350916808
2.6 -0.00978110562658 0.309465420353 -0.046618353386
2.7 -0.00951399423433 0.331282756227 -0.0441455961984
2.8 -0.0093762425817 0.352114503172 -0.0452148159895
2.9 -0.00927915233502 0.368717095162 -0.0453011182617
3.0 -0.00906365234492 0.389760479604 -0.0437304303956
3.1 -0.00857925335248 0.410712494549 -0.0393610542464
3.2 -0.00845651370778 0.429629707788 -0.0404614392855
3.3 -0.0080675266238 0.4472108654 -0.0363618282905
3.4 -0.00768135416464 0.468243622546 -0.0336581014908
3.5 -0.00748947326793 0.48927428223 -0.0327430838464
3.6 -0.00737705595793 0.510191292872 -0.0309234553464
3.7 -0.00753617542223 0.52687996495 -0.0328483998066
3.8 -0.00792854878718 0.546199350894 -0.0345396031005
3.9 -0.00871554159443 0.568218419099 -0.0390631602657
4.0 -0.00933144352542 0.589262098756 -0.0399952497546
4.1 -0.00989390956014 0.606020098954 -0.0432206150583
4.2 -0.0107130388762 0.627264309615 -0.0478713757382
4.3 -0.011344506316 0.648452637363 -0.0499059864662
4.4 -0.0122051740783 0.667621026063 -0.0584389640851
4.5 -0.0126581971226 0.685380673326 -0.063105839569
4.6 -0.0130364431311 0.706642523182 -0.0672298181685
4.7 -0.0133607136573 0.727893028004 -0.0758167262603
4.8 -0.0138814653213 0.745163999436 -0.0845149410897
4.9 -0.0155927761691 0.762214219057 -0.0890769653704
5.0 -0.0162641047748 0.784294109036 -0.0943026590091
5.1 -0.0168618153558 0.803710942711 -0.0985499748552
5.2 -0.0171919267206 0.825743851851 -0.10732913229
5.3 -0.0177156810295 0.844871548479 -0.116191594354
5.4 -0.0179769010078 0.859001636301 -0.119046375105
5.5 -0.0182499415299 0.876250395751 -0.125095038376
5.6 -0.0186719964396 0.892404973948 -0.134771072961
5.7 -0.0190372830246 0.907346302956 -0.14078590787
5.8 -0.0191840930248 0.91996089875 -0.148061403981
5.9 -0.0203911649012 0.939871188001 -0.152505109494
6.0 -0.0200950556125 0.961773166791 -0.15502530187
6.1 -0.0201666166655 0.981953100519 -0.164870882469
6.2 -0.0203638705667 0.996236975056 -0.16880183272
6.3 -0.0202091336074 1.01549047147 -0.173200376208
6.4 -0.0211277896212 1.03878551056 -0.17847414256
6.5 -0.0209607878912 1.06206773537 -0.181903204922
6.6 -0.020787422357 1.0798884847 -0.183650175394
6.7 -0.0205710575508 1.10247147214 -0.188802377724
6.8 -0.0207466395209 1.12318418484 -0.194906402093
6.9 -0.0205823175135 1.14458046084 -0.198296036382
7.0 -0.0199302494866 1.16779768641 -0.202593969202
7.1 -0.0208142515092 1.18023269146 -0.21120776318
7.2 -0.0208540388721 1.20158269213 -0.221903414976
7.3 -0.0213136269581 1.22022044128 -0.230873845917
7.4 -0.0217969183739 1.23767224963 -0.239824206525
7.5 -0.0227223655493 1.25619119502 -0.245311104381
7.6 -0.0226439918697 1.27880791451 -0.259024562441
7.7 -0.0229469023696 1.29874827709 -0.270272902341
7.8 -0.0227375963432 1.31939567242 -0.287341195944
7.9 -0.0230243796611 1.33979459325 -0.3024471542
8.0 -0.0235512826768 1.35942103276 -0.322709762784
8.1 -0.0238283182236 1.37868516985 -0.337527249032
8.2 -0.0240767146047 1.39849091276 -0.350776614219
8.3 -0.0242196935845 1.41933106541 -0.371039088659
8.4 -0.0243288729668 1.43912542404 -0.391600498267
8.5 -0.0244710785557 1.45771207172 -0.40939522152
8.6 -0.0242509252801 1.47700014249 -0.429573425455
8.7 -0.0240102912444 1.49722872571 -0.456915996123
8.8 -0.0237553093932 1.5205238516 -0.484000048704
8.9 -0.0233667955364 1.54097009445 -0.510221609568
9.0 -0.0237540381171 1.56292554649 -0.534435611409
9.1 -0.0238881514561 1.57853781273 -0.559770160566
9.2 -0.0235282978833 1.60181318435 -0.584575248465
9.3 -0.023862011123 1.62502233266 -0.609073727647
9.4 -0.0235800905348 1.64341830835 -0.632260647907
9.5 -0.0233476872444 1.66207171618 -0.6532679346
9.6 -0.0235235248592 1.68258986049 -0.680333947349
9.7 -0.0239289392573 1.70225080777 -0.712184830913
9.8 -0.024922915603 1.72629378041 -0.737839965156
9.9 -0.0218931617826 1.75144897349 -0.763221493727
10.0 -0.0213562580902 1.7741334154 -0.784259776367
10.1 -0.0203406944605 1.80418825267 -0.814623013163
10.2 -0.0191102836925 1.83655178369 -0.843460373727
10.3 -0.0233162474377 1.86588244358 -0.876011316712
10.4 -0.0244377795855 1.89356378266 -0.898783815866
10.5 -0.0251200290813 1.93008221599 -0.93071629085
10.6 -0.0250313043891 1.96900062366 -0.963768960934
