base trajectory: x y theta time 
-0.00037616678829 0.00149722279878 0.000284248330832 0.0 -0.000148589511839 9.44592499845e-05 0.00011404959618
-0.00251279754094 -0.000886564937285 0.00116735132226 0.1 -0.024006274135 -0.0268925671584 0.0100257789849
-0.00331511584868 -0.00660465485057 0.00126755229553 0.201 -0.00621466986647 -0.0574649924725 1.56329146453e-05
-0.00344692630744 -0.00983617370642 -8.82112807588e-05 0.3 -0.00137136868369 -0.0372505251601 -0.0174567020232
-0.00358180148968 -0.0121062050577 -0.00190970256266 0.4 -0.00123253867549 -0.0176113985539 -0.0172740879602
-0.00381621270207 -0.0126713990044 -0.00341467648009 0.5 -0.00238336508212 -0.00313902516331 -0.013990338803
-0.00448316944928 -0.0110151277683 -0.00751517014253 0.6 -0.00724491188168 0.0179203812723 -0.0417351146184
-0.00519419787264 -0.00752578746673 -0.0113682014524 0.7 -0.00694032748296 0.034444435794 -0.0363327119322
-0.00592960685295 -0.00456276331115 -0.0159578378711 0.8 -0.00916813891409 0.0354398174194 -0.0548882942115
-0.00665826905357 0.000969078960237 -0.0209161464783 0.9 -0.00776241296977 0.0556384317928 -0.045672946033
-0.00707675373729 0.00873448715231 -0.0248883164704 1.0 -0.00524777397754 0.0762887793342 -0.0369017500253
-0.00744749335857 0.0187304455424 -0.029683093792 1.1 -0.00649820962738 0.0962447725663 -0.0461227304879
-0.0074184901981 0.0284491916087 -0.0320834189004 1.2 -0.00323392606076 0.115770226909 -0.0281174268041
-0.00765111531858 0.0416990489525 -0.0334824142803 1.3 -0.0070974434884 0.128282120347 -0.0102908483573
-0.00833505999881 0.0570127562966 -0.036257835919 1.4 -0.012651134678 0.147850715444 -0.0285635746661
-0.00856973986141 0.0744752034533 -0.0375298958869 1.5 -0.00803946261161 0.167732192121 -0.0108464487961
-0.00854325099692 0.0901264743944 -0.0377089438475 1.6 -0.00660071492864 0.18709909548 -0.00191160610744
-0.00848973373142 0.110901698878 -0.037901248824 1.7 -0.00707377366582 0.199951088394 -0.00178760715893
-0.00817863804398 0.131838341589 -0.0365785809903 1.8 -0.00402877629708 0.199366669938 0.0147516173976
-0.0083637345018 0.15270867495 -0.037457344036 1.9 -0.00982133796325 0.198603969817 -0.0104895305066
-0.00835731346323 0.169331501711 -0.0376078710827 2.0 -0.00723123630833 0.197428376342 -0.00133560526939
-0.00887189598492 0.190443805125 -0.0400797631764 2.1 -0.0141710870612 0.201531462399 -0.0288151204586
-0.00913413231469 0.211516041296 -0.0414634426736 2.2 -0.00998299810055 0.200361714397 -0.0107503008275
-0.00908203429072 0.232429092283 -0.0416981337427 2.3 -0.00749521565381 0.198684542634 -0.00133507308506
-0.00901575645046 0.249080960987 -0.0418040105292 2.4 -0.0075207103716 0.197792290309 -0.00120131742387
-0.00943062051644 0.270225736948 -0.0442350916808 2.5 -0.0140648834011 0.201839581091 -0.0283627637795
-0.00964859408656 0.290439584217 -0.045618353386 2.6 -0.010179463277 0.190171585566 -0.010398881776
-0.00941761837104 0.311258003752 -0.0451455961984 2.7 -0.00636616035378 0.199204179241 0.00619568995067
-0.00928125282782 0.332089744074 -0.0452148159895 2.8 -0.00779426216593 0.198048571058 -0.0010116824082
-0.0091858907637 0.348692327941 -0.0453011182617 2.9 -0.00785503849265 0.197239135183 -0.000977977400734
-0.00895896289773 0.369735768867 -0.0447304303956 3.0 -0.0066474343726 0.201010883542 0.0066767845835
-0.00842711817153 0.390688088068 -0.0423610542464 3.101 -0.0029851570142 0.199131764989 0.0245892221019
-0.00824491477391 0.410604586871 -0.0414614392855 3.2 -0.00647572535347 0.189065945155 0.00742680969692
-0.00785533449748 0.42718700527 -0.0393618282905 3.3 -0.00325942795188 0.197819413117 0.0253717104594
-0.00741502383259 0.448220409313 -0.0366581014908 3.4 -0.00332452134638 0.200707557223 0.025769784337
-0.00718479864103 0.46925161574 -0.0347430838464 3.5 -0.00517899737017 0.200401119392 0.017316923255
-0.00703594804095 0.490169213924 -0.0329234553464 3.6 -0.00519557296227 0.198850649132 0.0172711554028
-0.00719356473827 0.506857911661 -0.0328483998066 3.7 -0.00844215196272 0.198320950659 0.000299619776862
-0.00756624417783 0.527176503174 -0.0335396031005 3.8 -0.0103830478037 0.192354826526 -0.00809878110886
-0.0084372986752 0.548195367861 -0.0360631602657 3.9 -0.0162790832276 0.200988913537 -0.0265277922153
-0.0090918874283 0.569238547301 -0.0379952497546 4.0 -0.0135489456385 0.199950945367 -0.0176183169796
-0.00969891373607 0.58599606398 -0.0402206150583 4.1 -0.0152865735373 0.199104570711 -0.026795126143
-0.0105911471488 0.607239696201 -0.0438713757382 4.2 -0.0175188627923 0.202471750526 -0.0367338458697
-0.0112833819632 0.628427746257 -0.0469059864662 4.3 -0.0154673425643 0.201026136075 -0.0275455060459
-0.0122024324359 0.64859472867 -0.0524389640851 4.4 -0.0188474490839 0.190547686668 -0.0553171904314
-0.0128013233555 0.665356200427 -0.057105839569 4.5 -0.0180183501174 0.199437371355 -0.0557879961672
-0.0132821720066 0.686619046528 -0.0622298181685 4.6 -0.0163731853235 0.202387697464 -0.047008906092
-0.0137383290488 0.707871604313 -0.0688167262603 4.7 -0.0178909148956 0.201809187952 -0.0654615107037
-0.014260316616 0.727140224257 -0.0765149410897 4.8 -0.0186791559336 0.180268854853 -0.0739856844857
-0.0151572210284 0.743114211421 -0.0820769653704 4.9 -0.0261610145581 0.189447929776 -0.0658226864679
-0.016035656052 0.764195656082 -0.0883026590091 5.0 -0.0254522617794 0.201894599461 -0.0575053549948
-0.0166454186422 0.784607195109 -0.0935499748552 5.1 -0.0228032072487 0.191290549871 -0.0485075371606
-0.0172052021993 0.805644104993 -0.10032913229 5.2 -0.0253829210067 0.199760376523 -0.0663271972111
-0.0177790073203 0.825766680257 -0.108191594354 5.3 -0.025398445741 0.189526039066 -0.0755304381961
-0.0180201703847 0.840890917714 -0.113046375105 5.4 -0.0223661095259 0.178343499203 -0.057530545053
-0.0182839413809 0.859133186749 -0.119095038376 5.501 -0.0229171678288 0.170763703489 -0.0575209657351
-0.0187109544955 0.876280505514 -0.126771072961 5.601 -0.0243332895819 0.160373899162 -0.0754112289065
-0.0190559625118 0.892213568535 -0.13378590787 5.7 -0.0230598649433 0.148779756864 -0.0659575064977
-0.0192977369369 0.904828579528 -0.140061403981 5.8 -0.0238124222076 0.148077424551 -0.0747988621394
-0.0199049898403 0.92261535902 -0.146505109494 5.9 -0.031181275232 0.170966786874 -0.0586800632023
-0.0199877886045 0.942538081822 -0.15102530187 6.001 -0.0285322388307 0.18980277963 -0.0406801700592
-0.0201910264668 0.962717731945 -0.157870882469 6.1 -0.0320075829404 0.189823613493 -0.0677122956231
-0.0203210447091 0.977988737718 -0.16280183272 6.2 -0.0302232657673 0.178892310375 -0.0585026684262
-0.0202648217982 0.997242268849 -0.168200376208 6.3 -0.0296725385728 0.181254753777 -0.0496329296203
-0.0206399330582 1.01839526789 -0.17347414256 6.4 -0.039123227645 0.200819285383 -0.050412047477
-0.020740211737 1.04069131504 -0.177903204922 6.5 -0.0380708985387 0.209511125182 -0.0412953751428
-0.0206255673566 1.05851153911 -0.180650175394 6.6 -0.0365282419415 0.20860535588 -0.032113421531
-0.0204979650939 1.08109403877 -0.184802377724 6.7 -0.0383221036003 0.212639096237 -0.0414003928502
-0.0205938915026 1.10278867877 -0.189906402093 6.8 -0.039875589478 0.200905400207 -0.0497407856442
-0.0205190994921 1.12418448076 -0.194296036382 6.9 -0.0378946299364 0.200185532757 -0.041032121295
-0.0201519834625 1.14642127806 -0.198593969202 7.0 -0.0381183835971 0.208656818271 -0.0408313104085
-0.0205476097696 1.16179553055 -0.20420776318 7.1 -0.0418895110998 0.177791708693 -0.0667224327723
-0.0209590269711 1.18216648814 -0.212903414976 7.201 -0.0446514502038 0.191313846018 -0.0858619099572
-0.0213727222938 1.20178144706 -0.221873845917 7.3 -0.0443663748377 0.17992454952 -0.085209097181
-0.0217922648384 1.22020800106 -0.230824206525 7.401 -0.043185627696 0.169420282208 -0.0854013931184
-0.0223292063813 1.23654824652 -0.237311104381 7.5 -0.051495336111 0.188601957132 -0.0772426525752
-0.0227067845956 1.25819248201 -0.248024562441 7.6 -0.0536247444587 0.201208787212 -0.106994594846
-0.0229851978009 1.2791014317 -0.259272902341 7.701 -0.0524559242263 0.190886796583 -0.107284103121
-0.023052276457 1.29975130996 -0.273341195944 7.801 -0.0527124890382 0.18907828684 -0.13627750533
-0.0232023216735 1.31795498848 -0.2864471542 7.9 -0.0625144676943 0.208198835761 -0.156703449431
-0.0235279883578 1.33949618753 -0.304709762784 8.001 -0.0629945593432 0.192314104325 -0.178125642595
-0.0238240813022 1.35971150436 -0.321527249032 8.1 -0.0621901339289 0.18022301457 -0.1569659937
-0.0240364923825 1.37730133084 -0.334776614219 8.2 -0.0713870433295 0.199184289554 -0.157498178028
-0.0242206797012 1.3990826087 -0.353039088659 8.302 -0.0716630269347 0.193272983452 -0.179137502398
-0.0243618832683 1.41981224434 -0.372600498267 8.4 -0.0712566818182 0.181842452411 -0.18854084469
-0.0244855690271 1.43932730112 -0.39139522152 8.5 -0.0705681045142 0.169963555015 -0.177232992081
-0.0244581280479 1.45638565567 -0.408573425455 8.6 -0.0803052281733 0.188878064571 -0.207876875287
-0.0242996731032 1.47753313589 -0.432915996123 8.7 -0.0814565535842 0.182733269536 -0.240249293191
-0.0241048312594 1.49950296117 -0.459000048704 8.8 -0.0908224411198 0.190757891933 -0.25033666974
-0.0238009302438 1.52085016585 -0.485221609568 8.9 -0.0900999150643 0.180593973016 -0.24979029383
-0.0238227532287 1.54233440086 -0.510435611409 9.0 -0.0991255259819 0.179034688885 -0.238850003197
-0.0239087836373 1.5588147406 -0.532770160566 9.1 -0.0988591112374 0.168203874151 -0.267695812952
-0.0237608836472 1.58071944348 -0.559575248465 9.201 -0.110097080099 0.181718638933 -0.251951671782
-0.0237986499402 1.6033891178 -0.585073727647 9.3 -0.119198601094 0.180657790996 -0.2407176154
-0.0237154864665 1.62400229259 -0.609260647907 9.4 -0.109511486457 0.159980302144 -0.229222433908
-0.0236515864429 1.64126528339 -0.6292679346 9.5 -0.120823908093 0.167900582808 -0.239304133824
-0.0237601761078 1.66259126063 -0.655333947349 9.601 -0.12433346828 0.159049820572 -0.250787962051
-0.0241103477384 1.68304229166 -0.684184830913 9.7 -0.123879285683 0.148310206241 -0.280204273406
-0.0247743066419 1.70503400818 -0.711839965156 9.8 -0.142728590416 0.156778415814 -0.260426884606
-0.0236513517151 1.72871334577 -0.738221493727 9.9 -0.141846590487 0.177224315192 -0.250668752761
-0.0228300353992 1.74933769035 -0.759259776367 10.0 -0.161030403442 0.186746644691 -0.250705650875
-0.0218146863149 1.7773214079 -0.787623013163 10.1 -0.18388108802 0.198855805394 -0.274280707041
-0.0207174408449 1.80759635162 -0.816460373727 10.2 -0.203072845878 0.208827165539 -0.274848370325
-0.022234767985 1.83747768338 -0.847011316712 10.301 -0.22230552285 0.1769745128 -0.292482830229
-0.0235081738616 1.86296744574 -0.870783815866 10.4 -0.241272222358 0.186119476431 -0.28213432857
-0.0246810009077 1.89728271517 -0.90171629085 10.5 -0.265415901445 0.199911764297 -0.297651404426
-0.0252578838091 1.93400135707 -0.933768960934 10.6 -0.284380121332 0.208098766099 -0.306370712462
